room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4563396,23655849,Shared room,,1,0,0.0,4,1.0,190.0,,36.309582,-115.192036,2017-02-26 02:19:53.733997
14388209,13759047,Shared room,,15,4,4.5,3,1.0,62.0,,36.131357,-115.117619,2017-02-26 02:19:47.316515
9880414,27623686,Shared room,,42,15,4.5,2,1.0,63.0,,36.113903,-115.187022,2017-02-26 02:19:47.302746
9391111,34546002,Shared room,,42,4,5.0,16,1.0,50.0,,36.121507,-115.212142,2017-02-26 02:19:45.906005
7990350,32365260,Shared room,,42,0,0.0,4,1.0,45.0,,36.114516,-115.197875,2017-02-26 02:19:44.708094
17014191,113482723,Shared room,,16,0,0.0,2,1.0,37.0,,36.145593,-115.16257,2017-02-26 02:19:40.783192
15181581,96246562,Shared room,,12,0,0.0,1,1.0,500.0,,36.119486,-115.031688,2017-02-26 02:19:38.275697
16663595,110188739,Shared room,,41,0,0.0,4,1.0,300.0,,36.008581,-115.17627,2017-02-26 02:19:37.157632
15205133,96574620,Shared room,,12,0,0.0,1,1.0,200.0,,36.116866,-115.03526,2017-02-26 02:19:35.625667
15203349,96557234,Shared room,,12,0,0.0,1,1.0,200.0,,36.119603,-115.037537,2017-02-26 02:19:35.622483
15632830,100804146,Shared room,,12,0,0.0,1,1.0,150.0,,36.142653,-115.02466,2017-02-26 02:19:34.507551
16694521,74264217,Shared room,,16,0,0.0,2,1.0,150.0,,36.110456,-115.172041,2017-02-26 02:19:34.504775
6799574,33240420,Shared room,,37,2,0.0,4,1.0,134.0,,36.19845,-115.299092,2017-02-26 02:19:33.286695
15302911,97452137,Shared room,,17,0,0.0,1,1.0,120.0,,36.269649,-115.100769,2017-02-26 02:19:32.050852
15482355,99399955,Shared room,,41,0,0.0,1,1.0,100.0,,36.016346,-115.176456,2017-02-26 02:19:30.866755
14592272,89935120,Shared room,,29,0,0.0,4,1.0,100.0,,36.050009,-115.029375,2017-02-26 02:19:30.862377
6211069,32204467,Shared room,,41,0,0.0,6,1.0,90.0,,36.025213,-115.160295,2017-02-26 02:19:30.860259
15545026,100027314,Shared room,,1,0,0.0,1,1.0,100.0,,36.250147,-115.16773,2017-02-26 02:19:30.857471
13587662,34392625,Shared room,,15,1,0.0,1,1.0,89.0,,36.115752,-115.116111,2017-02-26 02:19:30.853228
6897021,36139929,Shared room,,42,0,0.0,1,1.0,100.0,,36.115038,-115.27679,2017-02-26 02:19:30.850563
12232393,65819671,Shared room,,35,29,5.0,12,1.0,100.0,,36.039952,-115.238606,2017-02-26 02:19:30.846897
14341072,13759047,Shared room,,16,0,0.0,4,1.0,62.0,,36.131615,-115.119011,2017-02-26 02:19:29.703637
10685918,1845423,Shared room,,42,0,0.0,1,1.0,80.0,,36.116814,-115.185324,2017-02-26 02:19:29.700613
15423775,98855466,Shared room,,2,0,0.0,1,1.0,70.0,,36.124368,-115.325204,2017-02-26 02:19:29.695309
12054897,64560475,Shared room,,1,1,0.0,2,1.0,65.0,,36.254818,-115.198187,2017-02-26 02:19:29.684783
15701350,15021446,Shared room,,3,3,5.0,2,1.0,40.0,,36.231192,-115.227841,2017-02-26 02:19:28.456699
15206102,96523973,Shared room,,16,2,0.0,5,1.0,49.0,,36.121808,-115.142747,2017-02-26 02:19:26.172172
14341324,13759047,Shared room,,16,0,0.0,2,1.0,52.0,,36.129466,-115.119754,2017-02-26 02:19:26.169972
9034025,14293512,Shared room,,42,7,4.0,5,1.0,40.0,,36.112193,-115.232008,2017-02-26 02:19:26.167555
8851942,14293512,Shared room,,42,1,0.0,2,1.0,55.0,,36.111225,-115.2323,2017-02-26 02:19:26.164822
2566428,7840168,Shared room,,10,9,4.5,5,1.0,45.0,,36.137804,-115.211263,2017-02-26 02:19:26.159076
10001478,14293512,Shared room,,42,3,4.5,3,1.0,55.0,,36.113318,-115.232592,2017-02-26 02:19:26.156382
10207902,9815622,Shared room,,41,0,0.0,1,1.0,50.0,,36.034398,-115.172706,2017-02-26 02:19:26.152305
16102159,104816420,Shared room,,17,3,5.0,2,1.0,45.0,,36.253954,-115.123082,2017-02-26 02:19:26.148657
